Member Type,Production raw_ptr<T>,Production T*,Production Total,Test raw_ptr<T>,Test T*,Test Total,Grand Total
AssociatedReceiverSet,0,1,1,0,0,0,1
AutoReset,0,5,5,0,11,11,16
BrowserAppInstanceMap,0,3,3,0,0,0,3
HashMap,0,6,6,0,1,1,7
HashSet,0,4,4,0,0,0,4
HashingLRUCache,0,1,1,0,0,0,1
IDMap,0,3,3,0,0,0,3
InlinedVector,0,1,1,0,0,0,1
LRUCache,1,0,1,0,0,0,1
Matcher,0,0,0,0,1,1,1
Member,0,27,27,0,0,0,27
OwnedObjects,0,1,1,0,0,0,1
SafeOptional,47,0,47,0,0,0,47
ScopedArCoreObject,0,7,7,0,0,0,7
ScopedCardboardObject,0,1,1,0,0,0,1
UniqueReceiverSet,0,2,2,0,0,0,2
UntracedMember,0,2,2,0,0,0,2
Vector,0,10,10,0,1,1,11
WeakPtr,0,0,0,1,0,1,1
WeakPtrFactory,0,0,0,1,0,1,1
array,0,6,6,2,3,5,11
atomic,0,6,6,0,1,1,7
circular_deque,1,1,2,0,2,2,4
deque,1,0,1,0,0,0,1
flat_hash_map,4,4,8,0,0,0,8
flat_hash_set,1,1,2,0,0,0,2
flat_map,49,106,155,12,10,22,177
flat_set,63,13,76,4,1,5,81
list,17,0,17,1,0,1,18
map,78,172,250,45,82,127,377
multimap,1,0,1,0,0,0,1
multiset,0,1,1,0,0,0,1
optional,5,10,15,2,5,7,22
queue,8,0,8,2,0,2,10
raw_ptr,2,1,3,1,5,6,9
raw_span,0,3,3,0,1,1,4
set,89,11,100,25,2,27,127
span,0,2,2,0,0,0,2
stack,0,0,0,1,0,1,1
tuple,0,1,1,0,0,0,1
unique_ptr,0,4,4,0,0,0,4
unordered_map,12,29,41,4,2,6,47
unordered_set,13,3,16,0,0,0,16
variant,6,7,13,0,0,0,13
vector,181,43,224,114,23,137,361
