Member Type,Production raw_ptr<T>,Production T*,Production Total,Test raw_ptr<T>,Test T*,Test Total,Grand Total
AssociatedReceiverSet,0,1,1,0,0,0,1
AutoReset,0,5,5,0,10,10,15
BrowserAppInstanceMap,0,3,3,0,0,0,3
HashMap,0,6,6,0,1,1,7
HashSet,0,4,4,0,0,0,4
HashingLRUCache,0,1,1,0,0,0,1
IDMap,0,3,3,0,0,0,3
InlinedVector,0,1,1,0,0,0,1
LRUCache,1,0,1,0,0,0,1
Matcher,0,0,0,0,1,1,1
MaybeConstT,0,7,7,0,0,0,7
Member,0,28,28,0,0,0,28
OwnedObjects,0,1,1,0,0,0,1
SafeOptional,46,0,46,0,0,0,46
ScopedArCoreObject,0,7,7,0,0,0,7
ScopedCardboardObject,0,1,1,0,0,0,1
UniqueReceiverSet,0,2,2,0,0,0,2
UntracedMember,0,2,2,0,0,0,2
Vector,0,10,10,0,1,1,11
WeakPtr,0,0,0,1,0,1,1
WeakPtrFactory,0,0,0,1,0,1,1
array,0,5,5,2,3,5,10
atomic,0,7,7,0,1,1,8
circular_deque,1,1,2,0,3,3,5
deque,1,0,1,0,0,0,1
flat_hash_map,3,4,7,0,0,0,7
flat_hash_set,0,1,1,0,0,0,1
flat_map,49,106,155,12,10,22,177
flat_set,62,11,73,4,1,5,78
list,17,2,19,1,0,1,20
map,78,173,251,47,81,128,379
multimap,1,0,1,0,0,0,1
multiset,0,1,1,0,0,0,1
optional,2,12,14,2,5,7,21
queue,9,0,9,2,0,2,11
raw_ptr,2,1,3,1,8,9,12
raw_span,0,3,3,0,1,1,4
set,89,10,99,25,1,26,125
span,0,1,1,0,0,0,1
stack,0,0,0,1,0,1,1
tuple,0,1,1,0,0,0,1
unique_ptr,0,4,4,0,0,0,4
unordered_map,13,30,43,4,2,6,49
unordered_set,12,3,15,0,0,0,15
variant,11,7,18,0,0,0,18
vector,191,45,236,115,23,138,374
