Member Type,Production raw_ptr<T>,Production T*,Production Total,Test raw_ptr<T>,Test T*,Test Total,Grand Total
AssociatedReceiverSet,0,1,1,0,0,0,1
AutoReset,0,6,6,0,4,4,10
BrowserAppInstanceMap,0,3,3,0,0,0,3
HashMap,0,5,5,0,1,1,6
HashSet,0,5,5,0,0,0,5
HashingLRUCache,0,1,1,0,0,0,1
IDMap,0,3,3,0,0,0,3
Matcher,0,0,0,0,1,1,1
Member,0,22,22,0,0,0,22
OwnedObjects,0,1,1,0,0,0,1
ScopedArCoreObject,0,7,7,0,0,0,7
ScopedCardboardObject,0,1,1,0,0,0,1
UncompressedMember,0,1,1,0,0,0,1
UntracedMember,0,3,3,0,0,0,3
Vector,0,11,11,0,1,1,12
WeakPtr,0,0,0,0,1,1,1
WeakPtrFactory,0,0,0,0,1,1,1
array,0,3,3,2,1,3,6
atomic,0,4,4,0,1,1,5
circular_deque,0,1,1,0,3,3,4
flat_map,7,136,143,3,24,27,170
flat_set,68,8,76,4,1,5,81
list,19,2,21,1,0,1,22
map,6,214,220,2,111,113,333
multimap,0,1,1,0,0,0,1
multiset,0,1,1,0,0,0,1
optional,4,11,15,0,2,2,17
queue,10,0,10,2,0,2,12
raw_ptr,0,3,3,0,10,10,13
set,92,7,99,27,0,27,126
span,0,5,5,0,1,1,6
stack,0,0,0,1,0,1,1
tuple,0,1,1,0,0,0,1
unique_ptr,0,4,4,0,0,0,4
unordered_map,1,34,35,0,9,9,44
unordered_set,13,3,16,1,0,1,17
variant,2,2,4,0,0,0,4
vector,206,38,244,118,15,133,377
