Member Type,Production raw_ptr<T>,Production T*,Production Total,Test raw_ptr<T>,Test T*,Test Total,Grand Total
AssociatedReceiverSet,0,1,1,0,0,0,1
AutoReset,0,6,6,0,4,4,10
BrowserAppInstanceMap,0,3,3,0,0,0,3
HashMap,0,5,5,0,1,1,6
HashSet,0,5,5,0,1,1,6
HashingLRUCache,0,1,1,0,0,0,1
HeapHashMap,0,1,1,0,0,0,1
IDMap,0,3,3,0,0,0,3
LinkedHashSet,0,1,1,0,0,0,1
Matcher,0,0,0,0,1,1,1
Member,0,21,21,0,0,0,21
OwnedObjects,0,1,1,0,0,0,1
ScopedArCoreObject,0,7,7,0,0,0,7
ScopedCardboardObject,0,1,1,0,0,0,1
UncompressedMember,0,1,1,0,0,0,1
UntracedMember,0,1,1,0,0,0,1
Vector,0,11,11,0,1,1,12
WeakPtr,0,0,0,0,1,1,1
WeakPtrFactory,0,0,0,0,1,1,1
array,0,2,2,1,1,2,4
atomic,0,4,4,0,1,1,5
circular_deque,0,2,2,0,3,3,5
deque,0,1,1,0,0,0,1
flat_map,5,128,133,2,26,28,161
flat_set,9,69,78,0,4,4,82
list,1,20,21,0,2,2,23
map,3,222,225,1,110,111,336
multimap,0,1,1,0,0,0,1
multiset,0,2,2,0,0,0,2
optional,4,7,11,0,2,2,13
queue,1,10,11,0,3,3,14
raw_ptr,0,3,3,0,10,10,13
set,3,100,103,0,27,27,130
span,0,5,5,0,1,1,6
stack,0,1,1,0,1,1,2
tuple,0,1,1,0,0,0,1
unique_ptr,0,4,4,0,0,0,4
unordered_map,1,31,32,0,9,9,41
unordered_set,0,15,15,0,1,1,16
variant,1,2,3,0,0,0,3
vector,16,225,241,4,132,136,377
