Member Type,Production raw_ptr<T>,Production T*,Production Total,Test raw_ptr<T>,Test T*,Test Total,Grand Total
AssociatedReceiverSet,0,1,1,0,0,0,1
AutoReset,0,6,6,0,3,3,9
BrowserAppInstanceMap,0,3,3,0,0,0,3
HashMap,0,5,5,0,1,1,6
HashSet,0,4,4,0,0,0,4
HashingLRUCache,0,1,1,0,0,0,1
IDMap,0,3,3,0,0,0,3
InlinedVector,0,1,1,0,0,0,1
LRUCache,1,0,1,0,0,0,1
Matcher,0,0,0,0,1,1,1
MaybeConstT,0,7,7,0,0,0,7
Member,0,26,26,0,0,0,26
OwnedObjects,0,1,1,0,0,0,1
SafeOptional,45,0,45,0,0,0,45
ScopedArCoreObject,0,7,7,0,0,0,7
ScopedCardboardObject,0,1,1,0,0,0,1
UncompressedMember,0,1,1,0,0,0,1
UniqueReceiverSet,0,1,1,0,0,0,1
UntracedMember,0,3,3,0,0,0,3
Vector,0,10,10,0,1,1,11
WeakPtr,0,0,0,1,0,1,1
WeakPtrFactory,0,0,0,1,0,1,1
array,0,4,4,2,2,4,8
atomic,0,6,6,0,1,1,7
circular_deque,0,1,1,0,3,3,4
flat_hash_map,0,1,1,0,0,0,1
flat_map,50,101,151,11,10,21,172
flat_set,63,9,72,4,1,5,77
list,18,2,20,1,0,1,21
map,78,168,246,47,80,127,373
multimap,1,0,1,0,0,0,1
multiset,0,1,1,0,0,0,1
optional,2,11,13,2,4,6,19
queue,9,0,9,2,0,2,11
raw_ptr,2,1,3,1,8,9,12
raw_span,0,1,1,0,1,1,2
set,93,11,104,26,1,27,131
span,0,1,1,0,0,0,1
stack,0,0,0,1,0,1,1
tuple,0,1,1,0,0,0,1
unique_ptr,0,4,4,0,0,0,4
unordered_map,9,28,37,5,4,9,46
unordered_set,13,4,17,0,0,0,17
variant,10,6,16,0,0,0,16
vector,192,38,230,116,21,137,367
