Member Type,Production raw_ptr<T>,Production T*,Production Total,Test raw_ptr<T>,Test T*,Test Total,Grand Total
AssociatedReceiverSet,0,1,1,0,0,0,1
AutoReset,0,6,6,0,4,4,10
BrowserAppInstanceMap,0,3,3,0,0,0,3
HashMap,0,5,5,0,1,1,6
HashSet,0,4,4,0,0,0,4
HashingLRUCache,0,1,1,0,0,0,1
IDMap,0,3,3,0,0,0,3
Matcher,0,0,0,0,1,1,1
MaybeConstT,0,7,7,0,0,0,7
Member,0,23,23,0,0,0,23
OwnedObjects,0,1,1,0,0,0,1
SafeOptional,24,0,24,0,0,0,24
ScopedArCoreObject,0,7,7,0,0,0,7
ScopedCardboardObject,0,1,1,0,0,0,1
UncompressedMember,0,1,1,0,0,0,1
UntracedMember,0,3,3,0,0,0,3
Vector,0,10,10,0,1,1,11
WeakPtr,0,0,0,1,0,1,1
WeakPtrFactory,0,0,0,1,0,1,1
array,0,4,4,2,2,4,8
atomic,0,4,4,0,1,1,5
circular_deque,0,1,1,0,3,3,4
flat_hash_map,0,1,1,0,0,0,1
flat_map,11,137,148,4,17,21,169
flat_set,61,9,70,4,1,5,75
list,18,2,20,1,0,1,21
map,12,216,228,3,115,118,346
multimap,0,1,1,0,0,0,1
multiset,0,1,1,0,0,0,1
optional,2,10,12,1,2,3,15
queue,9,0,9,2,0,2,11
raw_ptr,2,1,3,1,8,9,12
raw_span,0,1,1,0,1,1,2
set,92,8,100,27,0,27,127
span,0,2,2,0,0,0,2
stack,0,0,0,1,0,1,1
tuple,0,1,1,0,0,0,1
unique_ptr,0,4,4,0,0,0,4
unordered_map,1,35,36,0,9,9,45
unordered_set,13,4,17,0,0,0,17
variant,8,6,14,0,0,0,14
vector,188,36,224,118,20,138,362
