Member Type,Production raw_ptr<T>,Production T*,Production Total,Test raw_ptr<T>,Test T*,Test Total,Grand Total
AssociatedReceiverSet,0,1,1,0,0,0,1
AutoReset,0,6,6,0,4,4,10
BrowserAppInstanceMap,0,3,3,0,0,0,3
HashMap,0,4,4,0,1,1,5
HashSet,0,5,5,0,1,1,6
HashingLRUCache,0,1,1,0,0,0,1
HeapHashMap,0,1,1,0,0,0,1
IDMap,0,3,3,0,0,0,3
LinkedHashSet,0,1,1,0,0,0,1
Matcher,0,0,0,0,1,1,1
Member,0,18,18,0,0,0,18
OwnedObjects,0,1,1,0,0,0,1
ScopedArCoreObject,0,7,7,0,0,0,7
ScopedCardboardObject,0,1,1,0,0,0,1
UntracedMember,0,1,1,0,0,0,1
Vector,0,11,11,0,1,1,12
WeakPtr,0,0,0,0,1,1,1
WeakPtrFactory,0,0,0,0,1,1,1
aligned_storage_t,0,2,2,0,0,0,2
array,0,2,2,1,1,2,4
atomic,0,4,4,0,1,1,5
circular_deque,0,2,2,0,3,3,5
deque,0,1,1,0,0,0,1
flat_map,4,130,134,2,26,28,162
flat_set,6,67,73,0,4,4,77
list,1,20,21,0,2,2,23
map,2,214,216,1,107,108,324
multimap,0,1,1,0,0,0,1
multiset,0,2,2,0,0,0,2
optional,4,8,12,0,2,2,14
queue,1,10,11,0,2,2,13
raw_ptr,0,3,3,0,9,9,12
set,3,100,103,0,29,29,132
span,0,3,3,0,1,1,4
stack,0,1,1,0,1,1,2
tuple,0,1,1,0,0,0,1
unique_ptr,0,4,4,0,0,0,4
unordered_map,1,30,31,0,9,9,40
unordered_set,0,14,14,0,1,1,15
variant,0,3,3,0,0,0,3
vector,14,223,237,4,130,134,371
