Member Type,Production raw_ptr<T>,Production T*,Production Total,Test raw_ptr<T>,Test T*,Test Total,Grand Total
AssociatedReceiverSet,0,1,1,0,0,0,1
AutoReset,0,5,5,0,6,6,11
BrowserAppInstanceMap,0,3,3,0,0,0,3
HashMap,0,6,6,0,1,1,7
HashSet,0,4,4,0,0,0,4
HashingLRUCache,0,1,1,0,0,0,1
IDMap,0,3,3,0,0,0,3
InlinedVector,0,1,1,0,0,0,1
LRUCache,1,0,1,0,0,0,1
Matcher,0,0,0,0,1,1,1
MaybeConstT,0,7,7,0,0,0,7
Member,0,27,27,0,0,0,27
OwnedObjects,0,1,1,0,0,0,1
SafeOptional,45,0,45,0,0,0,45
ScopedArCoreObject,0,7,7,0,0,0,7
ScopedCardboardObject,0,1,1,0,0,0,1
UncompressedMember,0,1,1,0,0,0,1
UniqueReceiverSet,0,1,1,0,0,0,1
UntracedMember,0,2,2,0,0,0,2
Vector,0,10,10,0,1,1,11
WeakPtr,0,0,0,1,0,1,1
WeakPtrFactory,0,0,0,1,0,1,1
array,0,5,5,2,2,4,9
atomic,0,7,7,0,1,1,8
circular_deque,1,1,2,0,3,3,5
flat_hash_map,0,1,1,0,0,0,1
flat_map,49,101,150,12,10,22,172
flat_set,63,11,74,4,1,5,79
list,17,2,19,1,0,1,20
map,81,170,251,47,83,130,381
multimap,1,0,1,0,0,0,1
multiset,0,1,1,0,0,0,1
optional,2,11,13,2,4,6,19
queue,9,0,9,2,0,2,11
raw_ptr,2,1,3,1,8,9,12
raw_span,0,3,3,0,1,1,4
set,92,11,103,26,1,27,130
span,0,1,1,0,0,0,1
stack,0,0,0,1,0,1,1
tuple,0,1,1,0,0,0,1
unique_ptr,0,4,4,0,0,0,4
unordered_map,9,28,37,4,3,7,44
unordered_set,12,4,16,0,0,0,16
variant,11,6,17,0,0,0,17
vector,193,39,232,116,20,136,368
