Member Type,Production raw_ptr<T>,Production T*,Production Total,Test raw_ptr<T>,Test T*,Test Total,Grand Total
AssociatedReceiverSet,0,1,1,0,0,0,1
AutoReset,0,1,1,0,3,3,4
BrowserAppInstanceMap,0,3,3,0,0,0,3
HashMap,0,6,6,0,1,1,7
HashSet,0,6,6,0,2,2,8
HashingLRUCache,0,1,1,0,0,0,1
HeapHashMap,0,1,1,0,0,0,1
IDMap,0,3,3,0,0,0,3
LinkedHashSet,0,1,1,0,0,0,1
Matcher,0,0,0,0,1,1,1
Member,0,28,28,0,0,0,28
OwnedObjects,0,1,1,0,0,0,1
ScopedArCoreObject,0,7,7,0,0,0,7
UntracedMember,0,1,1,0,0,0,1
Vector,0,11,11,0,1,1,12
WeakPtr,0,0,0,0,1,1,1
WeakPtrFactory,0,0,0,0,1,1,1
aligned_storage_t,0,2,2,0,0,0,2
array,0,2,2,1,1,2,4
atomic,0,4,4,0,1,1,5
circular_deque,0,3,3,0,6,6,9
deque,0,1,1,0,0,0,1
flat_map,4,125,129,0,25,25,154
flat_set,3,67,70,0,4,4,74
list,1,20,21,0,2,2,23
map,1,216,217,1,106,107,324
multimap,0,1,1,0,0,0,1
multiset,0,2,2,0,0,0,2
optional,1,10,11,0,2,2,13
queue,1,10,11,0,2,2,13
raw_ptr,0,3,3,0,10,10,13
set,3,100,103,0,30,30,133
span,0,3,3,0,0,0,3
stack,0,1,1,0,1,1,2
tuple,0,1,1,0,0,0,1
unique_ptr,0,3,3,0,0,0,3
unordered_map,1,32,33,0,9,9,42
unordered_multimap,0,1,1,0,0,0,1
unordered_set,0,13,13,0,1,1,14
variant,0,2,2,0,0,0,2
vector,13,226,239,4,130,134,373
