Member Type,Production raw_ptr<T>,Production T*,Production Total,Test raw_ptr<T>,Test T*,Test Total,Grand Total
AssociatedReceiverSet,0,1,1,0,0,0,1
AutoReset,0,6,6,0,4,4,10
BrowserAppInstanceMap,0,3,3,0,0,0,3
HashMap,0,5,5,0,1,1,6
HashSet,0,4,4,0,0,0,4
HashingLRUCache,0,1,1,0,0,0,1
IDMap,0,3,3,0,0,0,3
Matcher,0,0,0,0,1,1,1
Member,0,22,22,0,0,0,22
OwnedObjects,0,1,1,0,0,0,1
ScopedArCoreObject,0,7,7,0,0,0,7
ScopedCardboardObject,0,1,1,0,0,0,1
UncompressedMember,0,1,1,0,0,0,1
UntracedMember,0,3,3,0,0,0,3
Vector,0,10,10,0,1,1,11
WeakPtr,0,0,0,0,1,1,1
WeakPtrFactory,0,0,0,0,1,1,1
array,0,3,3,2,1,3,6
atomic,0,4,4,0,1,1,5
circular_deque,0,1,1,0,3,3,4
flat_hash_map,0,1,1,0,0,0,1
flat_map,10,134,144,4,18,22,166
flat_set,70,9,79,8,1,9,88
list,19,2,21,1,0,1,22
map,11,217,228,3,115,118,346
multimap,0,1,1,0,0,0,1
multiset,0,1,1,0,0,0,1
optional,3,11,14,1,2,3,17
queue,9,0,9,2,0,2,11
raw_ptr,0,3,3,0,10,10,13
set,90,7,97,27,0,27,124
span,0,5,5,0,1,1,6
stack,0,0,0,1,0,1,1
tuple,0,1,1,0,0,0,1
unique_ptr,0,4,4,0,0,0,4
unordered_map,1,37,38,0,9,9,47
unordered_set,13,4,17,0,0,0,17
variant,2,4,6,0,0,0,6
vector,199,36,235,115,18,133,368
