Member Type,Production raw_ptr<T>,Production T*,Production Total,Test raw_ptr<T>,Test T*,Test Total,Grand Total
AssociatedReceiverSet,0,1,1,0,0,0,1
AutoReset,0,6,6,0,4,4,10
BrowserAppInstanceMap,0,3,3,0,0,0,3
HashMap,0,5,5,0,1,1,6
HashSet,0,5,5,0,1,1,6
HashingLRUCache,0,1,1,0,0,0,1
IDMap,0,3,3,0,0,0,3
LinkedHashSet,0,1,1,0,0,0,1
Matcher,0,0,0,0,1,1,1
Member,0,23,23,0,0,0,23
OwnedObjects,0,1,1,0,0,0,1
ScopedArCoreObject,0,7,7,0,0,0,7
ScopedCardboardObject,0,1,1,0,0,0,1
UncompressedMember,0,1,1,0,0,0,1
UntracedMember,0,1,1,0,0,0,1
Vector,0,12,12,0,1,1,13
WeakPtr,0,0,0,0,1,1,1
WeakPtrFactory,0,0,0,0,1,1,1
array,0,2,2,2,1,3,5
atomic,0,4,4,0,1,1,5
circular_deque,0,1,1,0,3,3,4
flat_map,6,135,141,3,26,29,170
flat_set,9,66,75,0,4,4,79
list,1,20,21,0,2,2,23
map,5,216,221,1,110,111,332
multimap,0,1,1,0,0,0,1
multiset,0,2,2,0,0,0,2
optional,4,10,14,0,2,2,16
queue,1,10,11,0,2,2,13
raw_ptr,0,5,5,0,10,10,15
set,3,97,100,1,26,27,127
span,0,5,5,0,1,1,6
stack,0,0,0,0,1,1,1
tuple,0,1,1,0,0,0,1
unique_ptr,0,4,4,0,0,0,4
unordered_map,2,34,36,0,9,9,45
unordered_set,0,15,15,0,1,1,16
variant,1,2,3,0,0,0,3
vector,19,225,244,6,130,136,380
